Epoch,Error,Time
67600,117.33597493514054,00:01:25.369
67700,117.3354557590619,00:01:25.505
67800,117.33493887098207,00:01:25.638
67900,117.33442425203603,00:01:25.770
68000,117.33391188354621,00:01:25.905
68100,117.33340174701247,00:01:26.044
68200,117.33289382411125,00:01:26.180
68300,117.33238809670041,00:01:26.316
68400,117.33188454680626,00:01:26.448
68500,117.33138315662653,00:01:26.581
68600,117.33088390853189,00:01:26.714
68700,117.33038678506107,00:01:26.847
68800,117.32989176891869,00:01:26.983
68900,117.32939884296968,00:01:27.116
69000,117.32890799025002,00:01:27.249
69100,117.32841919395065,00:01:27.385
69200,117.32793243742482,00:01:27.519
69300,117.32744770417793,00:01:27.657
69400,117.32696497787427,00:01:27.791
69500,117.32648424233422,00:01:27.925
69600,117.32600548152458,00:01:28.059
69700,117.32552867956649,00:01:28.191
69800,117.32505382072758,00:01:28.326
69900,117.32458088941898,00:01:28.463
70000,117.32410987020303,00:01:28.599
70100,117.3236407477805,00:01:28.732
70200,117.32317350699465,00:01:28.866
70300,117.32270813282565,00:01:29.003
70400,117.32224461040053,00:01:29.138
70500,117.32178292496889,00:01:29.273
70600,117.3213230619264,00:01:29.411
70700,117.3208650067949,00:01:29.545
70800,117.3204087452327,00:01:29.680
70900,117.31995426302035,00:01:29.812
71000,117.31950154607493,00:01:29.944
71100,117.31905058043458,00:01:30.078
71200,117.31860135226057,00:01:30.211
71300,117.3181538478429,00:01:30.346
71400,117.31770805359,00:01:30.483
71500,117.31726395602874,00:01:30.616
71600,117.31682154180778,00:01:30.749
71700,117.316380797689,00:01:30.883
71800,117.31594171055461,00:01:31.017
71900,117.31550426739808,00:01:31.153
72000,117.31506845532483,00:01:31.289
72100,117.31463426154964,00:01:31.425
72200,117.31420167340347,00:01:31.561
72300,117.31377067831633,00:01:31.700
72400,117.31334126383364,00:01:31.834
72500,117.3129134175997,00:01:31.968
72600,117.31248712736837,00:01:32.102
72700,117.31206238098802,00:01:32.234
72800,117.31163916641621,00:01:32.367
72900,117.31121747170847,00:01:32.504
73000,117.31079728501425,00:01:32.643
73100,117.31037859458633,00:01:32.779
73200,117.30996138877022,00:01:32.911
73300,117.30954565600597,00:01:33.044
73400,117.30913138482893,00:01:33.178
73500,117.30871856386452,00:01:33.317
73600,117.30830718182938,00:01:33.460
73700,117.30789722753205,00:01:33.596
73800,117.30748868986781,00:01:33.732
73900,117.30708155781872,00:01:33.869
74000,117.3066758204552,00:01:34.003
74100,117.3062714669324,00:01:34.138
74200,117.30586848648473,00:01:34.284
74300,117.30546686843819,00:01:34.433
74400,117.3050666021933,00:01:34.580
74500,117.30466767723404,00:01:34.714
74600,117.30427008312296,00:01:34.853
74700,117.30387380950327,00:01:34.986
74800,117.30347884609384,00:01:35.119
74900,117.30308518268862,00:01:35.253
75000,117.30269280916254,00:01:35.391
75100,117.30230171546067,00:01:35.526
75200,117.301911891603,00:01:35.660
75300,117.30152332768128,00:01:35.794
75400,117.30113601386145,00:01:35.931
75500,117.30074994037626,00:01:36.065
75600,117.30036509753482,00:01:36.200
75700,117.29998147570821,00:01:36.338
75800,117.29959906533888,00:01:36.474
75900,117.29921785694087,00:01:36.609
76000,117.29883784108625,00:01:36.743
76100,117.29845900841998,00:01:36.877
76200,117.29808134964841,00:01:37.012
76300,117.29770485554391,00:01:37.147
76400,117.29732951694221,00:01:37.280
76500,117.29695532474206,00:01:37.415
76600,117.29658226989943,00:01:37.554
76700,117.29621034343927,00:01:37.690
76800,117.29583953644409,00:01:37.823
76900,117.29546984005025,00:01:37.958
77000,117.29510124546347,00:01:38.091
77100,117.29473374394179,00:01:38.227
77200,117.29436732680203,00:01:38.361
77300,117.29400198541967,00:01:38.502
77400,117.29363771122502,00:01:38.637
77500,117.2932744957073,00:01:38.771
77600,117.29291233040868,00:01:38.903
77700,117.29255120692852,00:01:39.037
77800,117.29219111691663,00:01:39.167
77900,117.29183205208167,00:01:39.299
78000,117.29147400418243,00:01:39.457
78100,117.29111696503229,00:01:39.592
78200,117.2907609264975,00:01:39.726
78300,117.29040588049072,00:01:39.859
78400,117.29005181898566,00:01:39.995
78500,117.28969873399674,00:01:40.131
78600,117.2893466175983,00:01:40.265
78700,117.28899546190773,00:01:40.399
78800,117.28864525909508,00:01:40.533
78900,117.2882960013797,00:01:40.667
79000,117.2879476810298,00:01:40.801
79100,117.28760029036202,00:01:40.935
79200,117.28725382173921,00:01:41.068
79300,117.28690826757854,00:01:41.210
79400,117.28656362033487,00:01:41.348
79500,117.2862198725175,00:01:41.482
79600,117.28587701668185,00:01:41.616
79700,117.28553504542587,00:01:41.753
79800,117.28519395139662,00:01:41.886
79900,117.28485372728822,00:01:42.023
80000,117.28451436584068,00:01:42.158
